title,abstract
A Mediterranean Dietary Intervention in Female Carriers of BRCA Mutations: Results from an Italian Prospective Randomized Controlled Trial,"Background: Women carriers of BRCA1/2 mutations face a high lifetime risk (penetrance) of developing breast and/or ovarian cancer. Insulin-like growth factor I (IGF-I), body weight and markers of insulin resistance affect BRCA penetrance. We conducted a multicenter prospective two-armed (1:1) randomized controlled trial (NCT03066856) to investigate whether a Mediterranean dietary intervention with moderate protein restriction reduces IGF-I and other metabolic modulators of BRCA penetrance. Methods: BRCA carriers, with or without a previous cancer, aged 18–70 years and without metastases were randomly assigned to an active dietary intervention group (IG) or to a control group (CG). The primary endpoint of the intervention was the IGF-I reduction. Results: 416 women (216 in the IG and 200 in the CG) concluded the six-month dietary intervention. The IG showed significantly lowered serum levels of IGF-I (-11.3 ng/mL versus -1.3 ng/mL, p "
Deficit in Adipose Differentiation in Mesenchymal Stem Cells Derived from Chronic Rhinosinusitis Nasal Polyps Compared to Nasal Mucosal Tissue,"Chronic rhinosinusitis of the nasal mucosa is an inflammatory disease of paranasal sinuses, which causes rhinorrhea, nasal congestion, and hyposmia, and in some cases, it can result in the development of nasal polyposis. Nasal polyps are benign lobular-shaped growths that project in the nasal cavities; they originate from inflammation in the paranasal mucous membrane and are associated with a high expression of interleukins (IL)-4, IL-5, IL-13, and IgE. Polyps derive from the epithelial–mesenchymal transition of the nasal epithelium resulting in a nasal tissue remodeling. Nasal polyps from three patients with chronic rhinosinusitis as well as control non-polyp nasal mucosa were used to isolate and cultivate mesenchymal stem cells characterized as CD73+, CD90+, CD105+/CD14-, CD34-, and CD45-. Mesenchymal stem cells (MSCs) cultures were induced to differentiate toward adipocytes, where lipid droplets and adipocyte genes PPAR2, ADIPO-Q, and FABP4 were observed in control non-polyp nasal mucosa-derived mesenchymal cells but were scarcely present in the cultures derived from the nasal polyps, where apoptosis was evident. The modulation of the response to adipogenic stimulus in polyps represents a change in the molecular response that controls the cascade required for differentiation as well as possible means to specifically target these cells, sparing the normal mucosa of the nasal sinuses. "
Characterization of -Glucosidase Inhibitors from Psychotria malayana Jack Leaves Extract Using LC-MS-Based Multivariate Data Analysis and In-Silico Molecular Docking,"Psychotria malayana Jack has traditionally been used to treat diabetes. Despite its potential, the scientific proof in relation to this plant is still lacking. Thus, the present study aimed to investigate the -glucosidase inhibitors in P. malayana leaf extracts using a metabolomics approach and to elucidate the ligand–protein interactions through in silico techniques. The plant leaves were extracted with methanol and water at five various ratios (100, 75, 50, 25 and 0% v/v; water–methanol). Each extract was tested for -glucosidase inhibition, followed by analysis using liquid chromatography tandem to mass spectrometry. The data were further subjected to multivariate data analysis by means of an orthogonal partial least square in order to correlate the chemical profile and the bioactivity. The loading plots revealed that the m/z signals correspond to the activity of -glucosidase inhibitors, which led to the identification of three putative bioactive compounds, namely 5'-hydroxymethyl-1'-(1, 2, 3, 9-tetrahydro-pyrrolo (2, 1-b) quinazolin-1-yl)-heptan-1'-one (1), -terpinyl–glucoside (2), and machaeridiol-A (3). Molecular docking of the identified inhibitors was performed using Auto Dock Vina software against the crystal structure of Saccharomyces cerevisiae isomaltase (Protein Data Bank code: 3A4A). Four hydrogen bonds were detected in the docked complex, involving several residues, namely ASP352, ARG213, ARG442, GLU277, GLN279, HIE280, and GLU411. Compound 1, 2, and 3 showed binding affinity values of -8.3, -7.6, and -10.0 kcal/mol, respectively, which indicate the good binding ability of the compounds towards the enzyme when compared to that of quercetin, a known -glucosidase inhibitor. The three identified compounds that showed potential binding affinity towards the enzymatic protein in molecular docking interactions could be the bioactive compounds associated with the traditional use of this plant. "
In Vitro Antibacterial Activity of Manuka (Leptospermum scoparium J.R. et G. Forst) and winter Savory (Satureja montana L.) Essential Oils and Their Blends against Pathogenic E. coli Isolates from Pigs,"Neonatal diarrhoea (ND), post-weaning diarrhoea (PWD) and oedema disease (OD) are among the most important diseases affecting pig farming due to economic losses. Among the main aetiological agents, strains of Escherichia coli are identified as the major responsible pathogens involved. Several strategies have been put in place to prevent these infections and, today, research is increasingly studying alternative methods to antibiotics to reduce the antibiotic resistance phenomenon. Essential oils (EOs) are among the alternative tools that are being investigated. In this study, the in vitro effectiveness of winter savory and manuka essential oils and their mixtures in different proportions against strains of E. coli isolated from episodes of disease in pigs was evaluated. The EOs alone demonstrated slight antibacterial effectiveness, whereas the blends, by virtue of their synergistic action, showed remarkable activity, especially the 70%–30% winter savory–manuka blend, showing itself as a potential tool for prevention and therapy. "
Chemoprevention of DMH-Induced Early Colon Carcinogenesis in Male BALB/c Mice by Administration of Lactobacillus Paracasei DTA81,"We evaluated the effects of the probiotic candidate Lactobacillus paracasei DTA81 (DTA81) on liver oxidative stress, colonic cytokine profile, and gut microbiota in mice with induced early colon carcinogenesis (CRC) by 1,2-dimethylhydrazine (DMH). Animals were divided into four different groups (n "
The Toxicity Exerted by the Antibiotic Sulfadiazine on the Growth of Soil Bacterial Communities May Increase over Time,"The toxicity exerted by the antibiotic sulfadiazine on the growth of soil bacterial communities was studied in two agricultural soils for a period of 100 days. In the short-term (2 days of incubation), the effect of sulfadiazine on bacterial growth was low (no inhibition or inhibition <32% for a dose of 2000 mgkg-1). However, sulfadiazine toxicity increased with time, achieving values of 40% inhibition, affecting bacterial growth in both soils after 100 days of incubation. These results, which were here observed for the first time for any antibiotic in soil samples, suggest that long-term experiments would be required for performing an adequate antibiotics risk assessment, as short-term experiments may underestimate toxicity effects. "
Searching for New Tools to Counteract the Helicobacter pylori Resistance: The Positive Action of Resveratrol Derivatives,"The drug-resistance phenomenon in Helicobacter pylori underlines the need of novel strategies to improve the eradication rate including alternative treatments combining antibiotic and non-antibiotic compounds with synergistic action. In this study, the antibacterial (MIC/MBC) and anti-virulence effects (biofilm reduction and swarming motility inhibition) of resveratrol-RSV and new synthetized RSV-phenol derivatives, with a higher bioavailability, alone and combined with levofloxacin-LVX were evaluated against resistant H. pylori clinical strains. The experiments were confirmed in vivo using the Galleria mellonella model. Among the studied RSV derivatives, RSV-3 and RSV-4 possessed higher antibacterial activity with respect to RSV (MICs from 6.25 to 200 g/mL and from 3.12 to 200 g/mL, respectively). RSV, RSV-3, and RSV-4 were able to synergize with LVX restoring its effect in two out of seven clinical resistant strains tested for the study. RSV, RSV-3, and RSV-4, alone and with LVX at sub-MIC and sub-synergistic concentrations, significantly reduced the biofilm formation. Moreover, RSV-3 and RSV-4 reduced the H. pylori swarming motility on soft agar. RSV, RSV-3, and RSV-4 were non-toxic for G. mellonella larvae and displayed a protective effect against H. pylori infection. Overall, RSV–phenol derivatives should be considered interesting candidates for innovative therapeutic schemes to tackle the H. pylori antibiotic resistance. "
Identification of Cis-Regulatory Sequences Controlling Pollen-Specific Expression of Hydroxyproline-Rich Glycoprotein Genes in Arabidopsis thaliana,"Hydroxyproline-rich glycoproteins (HRGPs) are a superfamily of plant cell wall structural proteins that function in various aspects of plant growth and development, including pollen tube growth. We have previously characterized protein sequence signatures for three family members in the HRGP superfamily: the hyperglycosylated arabinogalactan-proteins (AGPs), the moderately glycosylated extensins (EXTs), and the lightly glycosylated proline-rich proteins (PRPs). However, the mechanism of pollen-specific HRGP gene expression remains unexplored. To this end, we developed an integrative analysis pipeline combining RNA-seq gene expression and promoter sequences to identify cis-regulatory motifs responsible for pollen-specific expression of HRGP genes in Arabidopsis thaliana. Specifically, we mined the public RNA-seq datasets and identified 13 pollen-specific HRGP genes. Ensemble motif discovery identified 15 conserved promoter elements between A. thaliana and A. lyrata. Motif scanning revealed two pollen related transcription factors: GATA12 and brassinosteroid (BR) signaling pathway regulator BZR1. Finally, we performed a regression analysis and demonstrated that the 15 motifs provided a good model of HRGP gene expression in pollen (R "
A Bayesian Entropy Approach to Sectoral Systemic Risk Modeling,"We investigate the dynamics of systemic risk of European companies using an approach that merges paradigmatic risk measures such as Marginal Expected Shortfall, CoVaR, and Delta CoVaR, with a Bayesian entropy estimation method. Our purpose is to bring to light potential spillover effects of the entropy indicator for the systemic risk measures computed on the 24 sectors that compose the STOXX 600 index. Our results show that several sectors have a high proclivity for generating spillovers. In general, the largest influences are delivered by Capital Goods, Banks, Diversified Financials, Insurance, and Real Estate. We also bring detailed evidence on the sectors that are the most pregnable to spillovers and on those that represent the main contributors of spillovers. "
Identification of Seasonal Sub-Regions of the Drought in the North China Plain,"Regional climate variability assessment is of great significance in decision-making such as agriculture and water resources system management. The identification of sub-regions with similar drought variability can provide a basis for agricultural disaster reduction planning and water resource distribution. In this research, a modified daily Standardized Precipitation Evapotranspiration Index (SPEI) was used to monitor the spatial and temporal variation characteristics of agricultural drought in the North China Plain from 1960 to 2017, which was studied by using the rotated empirical orthogonal functions (REOF). Through the seasonal REOF process, 7–9 seasonal drought sub-regions are confirmed by applying time series and the correlation relationship of SPEI original data. The strong correlation of these sub-regions indicates that the climate and weather conditions causing the drought are consistent and the drought conditions are independent for the regions that show no correlation. In general, the results of the seasonal trend analysis show that there has been no significant trend value in most areas since 1960. However, it is worth noting that some regions have the positive and negative temporal trends in different seasons. These results illustrate the importance of seasonal analysis, particularly for agro-ecosystems that depend on timely rainfall during different growing seasons. If this trend continues, seasonal drought will become more complex, then a more elaborate water management strategy will be needed to reduce its impact. "
CORONAL DYNAMIC ACTIVITIES IN THE DECLINING PHASE OF A SOLAR CYCLE,"The Astrophysical Journal Letters, 833(2016) L11. doi:10.3847/2041-8213/833/1/L11 "
